Feature ID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
0a670a33fb64aaf82094efa5628a1744	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae				
0a7b414fafee31eb600594948db01543	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
0abfb8bd668387093f74074e6d0e35ba	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae				
0acec0988e2581daccf72bb09e03a8ab	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae				
0ad73a0ce5fd4ebc5bd102fb157300c6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
0ae59402ab11185f15185697885c4bdb	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Radulomycetaceae	Radulomyces			
0b060f8a10ae505b7ca2845d55f23781	Fungi	Ascomycota	Sordariomycetes	Diaporthales					
0b06dc1557944a9c319ada244f5ad753	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia			
0b0afbbcbc14873eb9a4ae7b08f696ed	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum			
0b11aa688f90a9dc3c41f6d181571855	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella_sp	SH0146067.10FU	
0b2aca51248768fdcbaf6b548acf7d3b	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis				
0b34f66c315b25fe4e47ad9f03e540d5	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala			
0b55c4552aa81280a0537a8fb26fc28e	Fungi	Ascomycota	Dothideomycetes	Dothideales					
0b75267fb8bf2000d27cea6b59d5604f	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium			
0b86d3c453e5b5a631611f913cfcdcd0	Unassigned								
0b9facd5681e58be4126f085941afcce	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae				
0bba099f03f671bbf8553da9b8fd40eb	Fungi	Ascomycota	Eurotiomycetes	Eurotiales					
0bd6d409e0b7f6b8d7c5c5239552d4cc	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia			
0be6f48442c6bd4ce13f3806da142328	Fungi	Ascomycota	Leotiomycetes	Leotiales					
0bf963863590022e6ec06e5db79bfddd	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia			
0c061676d6b01174922f0877ea2f03c4	Fungi	Ascomycota	Dothideomycetes						
0c0c7833c775c035cfb4de0c8b4c8191	Unassigned								
0c1fd1f45d0cf88b01c3e04ad7a3b3a0	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae				
0c70a7bcaf005efa1ee59c32bbc4d01c	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae				
0c7fba880f12530f2211f65d3647dba2	Fungi	Ascomycota	Dothideomycetes	Pleosporales					
0c867db7e8913a9bce1f53b8c11653f5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus			
0c8a97f5fe9db02f5c0e61e9d84f9c99	Fungi	Basidiomycota	Tremellomycetes	Tremellales					
0ca8aeb469512f049b3f93075a909cd9	Unassigned								
0cc502603129b8dda83b81633056f783	Unassigned								
0cd57ab7a821d085ca8d14b198260fd8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
0d1d90d126d01441e2f1887783c5fa8c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia			
0d55bb009781edbce952d4dec47ac43a	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae				
0d5af6d6720df752b2bf87a0e6dbd0a0	Unassigned								
0d65cb962bcaf40558141eca5ee25137	Fungi	Ascomycota	Sordariomycetes						
0d6ce73889485a92d544e1bdd9150715	Fungi	Ascomycota	Dothideomycetes	Pleosporales					
0d7496b8437749e30f0352301641f045	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales					
0d94cd4e78e50436d56e14b9b8c62fb9	Unassigned								
0da9afcff1ba80eec6fdc0b9fbebd336	Fungi	Ascomycota	Dothideomycetes	Kirschsteiniotheliales	Kirschsteiniotheliaceae	Kirschsteiniothelia	Kirschsteiniothelia_arasbaranica	SH0109608.10FU	
0dac8c406d541554abbf0f744821b95a	Unassigned								
0dd904209cf5ded739537ca0cd9db02a	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae				
0ddc039fdc7e104f88376c68286d08eb	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physcia			
0ddf0da76b81bcfa85d81559c3035418	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae				
0de7084facb76bbdffe70b11d9ea95ea	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			
0dfcf476e588f77973911bb30716b4d8	Fungi	Ascomycota	Dothideomycetes						
0e06498ae68f4a8042252ec817ef8686	Unassigned								
0e2a5993a68887b960dec1642973d37d	Unassigned								
0e3a17b932f26873a149ed9fe19c2d46	Fungi	Basidiomycota	Tremellomycetes	Tremellales					
0eb775b03b6f4a78f675d31f75195264	Unassigned								
0ebe37fd2a280fce1d5bff58506508e1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Parasarocladium			
0ee8756355c942f3bfa833e058a70087	Unassigned								
0f0300dbc50010b851d0a7d8620a79fe	Fungi	Ascomycota	Lecanoromycetes						
0f2bb98c7c37f40acdc6f117b83cd1db	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales					
0f4da0c9cc290692110c30909e5ee4cd	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma			
0f6468246471b1f9449c90a7bf1dfe86	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium			
0f7b62cae9504bfa86ac8104fb51cf0c	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales					
