Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
0889b3a3798b621ca2cbadcdbda73bcc	Fungi	Basiddiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora		
08d62031cf14bcf946145df2d1271805	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae			
093e33fa8059112b1aafda899452e112	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_sp	
0960411522c295acc20dc1fc579c6c47	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae			
0a1bcd9a60341f290ec2e0cdfb500e6d	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae			
0a26aef6387db877fbb2f9bac65cb326	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon		
0a278861db982754a9f3419af0f277ad	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria		
0b047bf64a42361d1fbf3e5a17e5b367	Unassigned							
0b25138fa7b772dda4d15ab81790cfb6	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Pestalotiopsis		
0c017c2155a6caa2e9056b4bd04bdebf	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia		
0c160521696f9cc0eb5e2566b76c8e44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Testudinaceae	Testudinaceae_gen_Incertae_sedis	Testudinaceae_sp	
0cc68263e96779fce54d090cd47a2281	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmelia		
0ccb6f21fe1f416f8a0e81a1bab7b51c	Fungi	Basiddiomycota	Spiculogloeomycetes	Spiculogloeales	Spiculogloeales_fam_Incertae_sedis	Meniscomyces	Meniscomyces_layueensis	sh__SH1193363.09FU
0cd19dccc55607d8149012d0e540e0e4	Fungi	Basiddiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis				
0d0324bc3a9f9a32c9efc6db93bb369d	Viridiplantae	Anthophyta	Eudicotyledonae	Fabales	Fabaceae	Lathyrus		
0da91c141cd75e6163c9188d670b8951	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon		
0df56424051b2aa7b31cbe4e510e0d9e	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Parathyridaria		
0e0909d39a8c058b07913671f03523ce	Fungi	Basiddiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidiaceae_gen_Incertae_sedis	Filobasidiaceae_sp	
0e707af3bee71a2fd4794b0b7bd515de	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	Devriesia_sp	
0f1f6ed3ddb3dbf8852b24b79fabdfaf	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae			
0f32da71e26972640eb84b6a3fcc774e	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		
0f37095c31333eab5211e8d3fe587026	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron		
0f6a3168b8e5ecfee758bcffb2570581	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae			
0faed0445807c50dfb94abfe3ee31cb9	Viridiplantae	Anthophyta	Eudicotyledonae	Rosales	Urticaceae	Pilea		
0fba4a4ce22f03111bde525f356b868b	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Leuconeurospora	Leuconeurospora_sp	
0fc19049e1dfbf5b80bc847f7ffcf739	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			
105817e8099cc07d37a10deeb4e17d30	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_sp	
10594171bbd0f6b53fea5e18cc898fb3	Fungi	Basiddiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia		
11690f5bc78d3ebec176d4404d5f7e3c	Fungi	Ascomycota						
117824247b0304f36bbb664a5d82fd7d	Viridiplantae	Chlorophyta	Trebouxiophyceae					
118ba0b4bc79eca730fcdbf0a8299ae0	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum		
11a43e0bd2cdd0376dad571eccfb55db	Viridiplantae	Anthophyta	Eudicotyledonae	Fagales	Fagaceae	Quercus		
120746547241548297aa78110b2bca75	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		
12884026961276afa891ab7c72b459a4	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Derxomyces		
134693090714d88998c867d9dc2b9ccf	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_sp	
14aae75653bdd713ce49cd539cf060c7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp	
15366f618f4690c95d191e1e125e3402	Fungi	Basiddiomycota	Agaricomycetes	Polyporales	Podoscyphaceae			
15480f04214ec8173aa5ded31911a010	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae			
