Feature ID	Taxon	Consensus
00783c70f50aad14d9e55c35ce382122	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Sapindales;f__Aceraceae;g__Acer	1.0
00a8d4e0246cc1f9a00cd836bb1b9609	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sp	0.6
00b57e67b0253d6ddf4be8ec1f287a57	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.7
0161757ed67b682b247dbf7823d28ae5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae	0.727
0167ba52b37db72a6e74b1ffdf1e8c7c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.818
016f7a238568e0bc2ab47e4fffec7eda	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa	0.667
01711e9eb9d2c887ef8c700f85533969	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Cadophora	0.667
0178fd817b238ef3ab8a06a975e87f7c	k__Fungi;p__Ascomycota	0.583
01d00e0f48a8569cd656be8d74e5f25e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_sp	0.7
025c45dd817fcfbef174a846ab21a87b	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	1.0
02c9936752f575e9f1163ba4462cb92b	k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Rozellomycota_ord_Incertae_sedis;f__Rozellomycota_fam_Incertae_sedis;g__Rozellomycota_gen_Incertae_sedis;s__Rozellomycota_sp	0.9
03321e585a12354ddb1d11350550706f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_sp	0.7
04768fb0af98849e64c1521fce05a9e4	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Scheffersomyces	0.9
048708feb2a36655c395d1b5321ae751	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp	0.583
052ee394693897c3d41639c444d6c6ab	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae	1.0
0641912f2be92fded429d880d10a295c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_sp	0.9
